aX,aY,aZ,gX,gY,gZ
-0.316,0.108,0.940,-13.000,-0.122,-4.272
-0.305,0.101,0.939,-11.902,1.404,-4.822
-0.317,0.093,0.946,-12.939,0.488,-5.554
-0.345,0.097,0.952,-13.306,-2.380,-5.249
-0.352,0.097,0.969,-13.794,-4.395,-3.296
-0.323,0.100,0.961,-12.756,-7.751,-0.061
-0.316,0.105,0.959,-13.855,-8.911,0.183
-0.310,0.119,0.971,-12.695,-9.827,0.061
-0.300,0.111,0.959,-12.756,-10.315,-1.221
-0.303,0.115,0.962,-13.000,-8.667,-1.343
-0.311,0.108,0.950,-14.648,-4.211,-5.005
-0.316,0.095,0.967,-17.029,-3.113,-5.188
-0.319,0.094,0.978,-18.066,-3.357,-3.967
-0.314,0.107,0.988,-17.395,-5.371,-2.502
-0.310,0.101,0.992,-15.625,-7.141,-2.380
-0.299,0.094,0.985,-14.709,-8.057,-3.418
-0.284,0.104,0.969,-15.259,-7.263,-3.967
-0.276,0.110,0.960,-14.648,-5.798,-5.066
-0.282,0.115,0.962,-15.015,-4.272,-6.714
-0.282,0.107,0.972,-16.907,-4.150,-5.859
-0.286,0.111,0.972,-16.907,-4.578,-4.883
-0.292,0.098,0.975,-15.808,-5.371,-5.920
-0.309,0.097,0.976,-16.296,-7.629,-5.554
-0.320,0.093,0.994,-15.503,-8.240,-4.150
-0.315,0.096,0.996,-13.977,-9.216,-2.808
-0.307,0.092,1.003,-13.916,-10.193,-2.136
-0.271,0.105,1.004,-10.498,-7.263,-1.465
-0.271,0.101,0.995,-11.169,-6.287,-2.258
-0.272,0.097,0.996,-11.230,-5.005,-3.479
-0.255,0.097,0.976,-9.583,-4.028,-4.028
-0.255,0.089,0.971,-9.766,-3.296,-4.578
-0.273,0.092,0.947,-11.658,-5.127,-5.676
-0.291,0.082,0.954,-11.780,-6.775,-6.348
-0.306,0.096,0.960,-13.672,-8.118,-5.554
-0.306,0.091,0.975,-14.893,-8.240,-4.211
-0.303,0.090,0.974,-14.099,-8.301,-5.127
-0.298,0.084,0.985,-13.855,-9.644,-2.808
-0.300,0.079,0.988,-13.184,-9.460,-4.700
-0.318,0.085,0.991,-13.062,-8.423,-3.906
-0.310,0.086,0.989,-13.062,-6.897,-2.197
-0.290,0.091,0.975,-15.320,-5.615,-2.502
-0.283,0.095,0.980,-15.747,-5.188,-2.747
-0.294,0.094,0.982,-14.648,-6.348,-4.028

0.301,0.644,-1.660,-9.216,-49.561,27.100
0.327,0.581,-1.841,-18.799,-54.321,24.841
0.356,0.532,-2.009,-31.677,-60.364,22.705
0.375,0.418,-2.283,-72.388,-72.937,16.052
0.398,0.363,-2.397,-97.839,-81.604,12.695
0.483,0.210,-2.594,-156.860,-96.985,0.671
0.531,0.114,-2.679,-187.866,-91.431,-11.597
0.532,-0.099,-2.645,-259.766,-69.397,-49.438
0.508,-0.203,-2.509,-295.898,-64.270,-68.604
0.500,-0.362,-2.203,-356.750,-61.096,-98.022
0.482,-0.459,-2.036,-382.568,-64.880,-109.741
0.523,-0.664,-1.732,-431.091,-81.482,-131.836
0.577,-0.925,-1.341,-485.413,-100.342,-157.410
0.596,-1.151,-1.037,-511.841,-107.849,-162.109
0.493,-1.298,-0.316,-549.683,-125.427,-173.828
0.432,-1.367,0.046,-558.533,-133.728,-180.054
0.350,-1.519,0.622,-552.856,-171.448,-169.373
0.437,-1.611,0.997,-544.067,-199.097,-156.738
0.516,-1.913,1.766,-491.455,-238.831,-136.536
0.342,-2.104,2.139,-463.623,-238.281,-116.821
0.298,-2.141,2.362,-460.205,-211.975,-109.680
0.368,-2.228,2.790,-435.791,-125.305,-108.704
0.291,-2.039,3.062,-438.965,-69.336,-123.169
0.076,-1.336,3.500,-421.265,7.446,-137.329
0.066,-1.075,3.525,-383.423,10.193,-136.292
-0.114,-0.740,3.091,-304.565,-30.212,-130.310
