aX,aY,aZ,gX,gY,gZ
1.000,-0.091,0.759,38.086,65.186,-0.549
0.980,-0.085,0.745,37.659,60.791,-6.836
0.936,-0.057,0.729,35.217,52.795,-19.592
0.892,-0.062,0.730,35.034,50.781,-27.527
0.775,-0.083,0.688,33.447,43.030,-38.818
0.719,-0.071,0.679,33.508,40.710,-42.053
0.646,-0.047,0.643,31.738,43.518,-45.227
0.611,-0.025,0.624,30.151,45.898,-45.288
0.584,0.002,0.619,28.137,49.133,-47.241
0.565,0.052,0.578,24.414,58.960,-49.316
0.551,0.067,0.578,21.179,61.829,-51.025
0.525,0.095,0.581,15.991,64.697,-56.213
0.519,0.098,0.578,14.099,64.636,-60.181
0.517,0.111,0.594,12.695,64.941,-61.584
0.509,0.127,0.604,9.827,60.242,-70.740
0.460,0.107,0.586,9.399,58.899,-74.829
0.418,0.090,0.555,6.531,53.284,-79.346
0.366,0.073,0.521,1.343,52.063,-82.153
0.343,0.088,0.527,-1.099,51.147,-82.397
0.284,0.107,0.543,-7.141,48.035,-86.121
0.263,0.118,0.559,-9.827,47.058,-86.304
0.253,0.126,0.581,-12.878,46.448,-88.745
0.204,0.115,0.620,-16.174,50.110,-91.125
0.173,0.104,0.642,-17.456,50.171,-93.018
0.123,0.097,0.684,-18.433,48.096,-94.666
0.113,0.076,0.680,-19.470,49.194,-96.069
0.099,0.048,0.630,-18.982,49.377,-96.375
0.099,0.045,0.600,-20.081,49.622,-96.252
0.113,0.045,0.570,-20.630,49.561,-95.337
0.143,0.041,0.511,-21.606,49.927,-96.436
0.149,0.035,0.486,-22.583,49.744,-97.656
0.132,0.008,0.414,-25.757,43.762,-100.220
0.101,-0.007,0.388,-27.893,39.429,-100.952
0.029,-0.021,0.395,-33.020,33.020,-103.149
0.000,-0.023,0.430,-36.377,29.480,-104.431
-0.095,0.006,0.491,-38.940,24.170,-105.225
-0.141,0.022,0.530,-41.138,20.996,-106.323
-0.207,0.043,0.600,-42.114,20.752,-105.957
-0.225,0.070,0.629,-43.701,21.118,-105.164
-0.334,0.010,0.667,-44.189,23.743,-106.689
-0.408,-0.042,0.674,-45.227,24.292,-108.948
-0.565,-0.114,0.767,-47.485,15.137,-107.117
-0.631,-0.126,0.792,-47.546,8.728,-105.530
-0.810,-0.195,0.866,-47.791,-6.531,-101.807
-0.849,-0.170,0.938,-46.997,-15.503,-95.642
-0.906,-0.115,1.074,-45.471,-26.367,-81.665
-0.918,-0.063,1.133,-44.434,-28.137,-74.951
-0.887,-0.009,1.179,-39.490,-24.597,-60.852
-0.858,0.006,1.174,-37.598,-20.752,-52.917
-0.803,-0.023,1.167,-37.292,-17.151,-41.077
-0.782,-0.016,1.172,-36.743,-16.113,-33.752

2.200,0.324,-0.236,-29.297,123.108,-157.715
2.312,0.275,-0.372,-50.476,131.836,-188.599
2.205,0.051,-0.591,-85.693,119.629,-258.728
2.001,-0.101,-0.685,-98.816,106.018,-291.077
1.332,-0.467,-0.732,-128.540,68.542,-338.928
0.884,-0.645,-0.745,-141.541,47.424,-349.121
0.142,-0.900,-0.729,-170.715,36.621,-342.957
-0.184,-1.022,-0.535,-187.378,48.401,-331.970
-0.679,-1.216,-0.046,-213.379,67.871,-299.500
-0.779,-1.264,0.125,-216.003,77.148,-282.654
-1.057,-1.496,0.255,-212.219,80.811,-252.502
-1.117,-1.472,0.305,-208.984,71.045,-233.521
-1.170,-1.476,0.417,-203.552,57.129,-209.839
-1.383,-1.507,0.661,-194.946,31.616,-193.787
-1.467,-1.426,0.787,-185.242,11.169,-184.814
-1.534,-1.262,0.876,-157.227,-23.682,-161.987
-1.581,-1.227,0.844,-143.127,-39.734,-148.376
-1.589,-1.139,0.597,-117.432,-67.993,-119.934
-1.545,-1.100,0.488,-112.976,-81.299,-105.713
-1.476,-1.031,0.532,-107.788,-108.704,-75.806
-1.404,-0.961,0.606,-104.431,-126.343,-60.730
-1.246,-0.950,0.770,-88.196,-156.128,-41.870
-1.078,-0.916,0.861,-63.965,-185.852,-27.832
-1.031,-0.928,0.854,-50.232,-200.500,-20.996
-0.872,-0.917,0.803,-22.583,-226.990,-0.793
-0.791,-0.913,0.792,-14.954,-229.187,10.315
-0.598,-0.936,0.632,-0.671,-232.971,32.593
-0.473,-0.946,0.634,2.625,-230.774,45.532
-0.122,-0.916,0.722,5.432,-231.812,70.374
0.117,-0.895,0.797,5.676,-229.797,78.125
0.365,-0.910,0.899,7.019,-229.980,81.238
0.718,-0.971,1.328,12.512,-220.093,75.806
1.016,-1.055,1.514,31.494,-219.971,81.421
1.086,-1.006,1.698,49.683,-264.587,52.185
0.949,-1.062,1.905,58.716,-245.117,60.486
0.638,-1.058,2.059,84.900,-233.215,53.589
0.518,-1.051,2.013,113.220,-228.271,77.576
0.464,-0.875,1.864,152.771,-222.473,115.967
0.521,-0.726,1.779,158.447,-212.280,127.197
0.866,-0.480,1.732,148.010,-164.673,144.165
1.628,-0.197,2.448,131.653,-127.869,134.033
0.974,0.018,1.854,155.151,-111.389,123.535
1.313,-0.532,1.264,174.866,-114.807,95.764
1.307,-0.204,1.514,120.056,-65.613,120.056
1.193,-0.262,1.779,102.112,-56.641,107.666
0.998,-0.239,1.860,104.553,-40.283,98.694
0.922,-0.223,1.874,109.009,-36.194,100.464
0.876,-0.167,1.892,111.023,-29.907,102.112
0.787,-0.108,1.802,123.047,-9.766,109.802
0.797,-0.068,1.699,131.775,1.160,111.206
0.801,-0.009,1.398,146.057,10.986,112.732
